no_of_adults,no_of_children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,booking_status
2,0,Meal Plan 1,0,Room_Type 1,224,2017,10,2,Offline,65,0
2,0,Not Selected,0,Room_Type 1,5,2018,11,6,Online,106.68,0
1,0,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,60,1
2,0,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,100,1
2,0,Not Selected,0,Room_Type 1,48,2018,4,11,Online,94.5,1
2,0,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,115,1
2,0,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,107.55,0
2,0,Meal Plan 1,0,Room_Type 4,83,2018,12,26,Online,105.61,0
3,0,Meal Plan 1,0,Room_Type 1,121,2018,7,6,Offline,96.9,0
2,0,Meal Plan 1,0,Room_Type 4,44,2018,10,18,Online,133.44,0
1,0,Not Selected,0,Room_Type 1,0,2018,9,11,Online,85.03,0
1,0,Meal Plan 1,0,Room_Type 4,35,2018,4,30,Online,140.4,0
2,0,Not Selected,0,Room_Type 1,30,2018,11,26,Online,88,1
2,0,Not Selected,1,Room_Type 2,30,2018,11,26,Online,88,1
2,0,Not Selected,2,Room_Type 3,30,2018,11,26,Online,88,1
1,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,90,1
1,0,Meal Plan 2,1,Room_Type 2,95,2018,11,20,Online,90,1
1,0,Meal Plan 3,2,Room_Type 3,95,2018,11,20,Online,90,1
2,0,Meal Plan 1,0,Room_Type 1,47,2017,10,20,Online,94.5,0
2,0,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,115,1
1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,Offline,96,0
2,0,Not Selected,0,Room_Type 1,1,2017,8,10,Online,96,0
2,0,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,65,1
2,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,72,0
1,0,Meal Plan 1,0,Room_Type 1,122,2018,11,25,Corporate,67,0
2,0,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Offline,85,0
2,0,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,105,0
2,0,Not Selected,0,Room_Type 1,130,2018,5,22,Online,94.5,0
2,0,Meal Plan 1,0,Room_Type 1,99,2018,4,28,Online,114.3,0
2,0,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,65,0
1,0,Meal Plan 1,0,Room_Type 4,2,2018,5,19,Aviation,110,1
1,0,Meal Plan 1,0,Room_Type 1,37,2017,11,6,Online,37.33,1
2,0,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,82,0
2,0,Meal Plan 1,0,Room_Type 4,3,2017,9,19,Online,177.5,0
2,0,Meal Plan 1,0,Room_Type 1,107,2018,11,13,Online,,0
0,2,Meal Plan 1,0,Room_Type 2,56,2018,12,7,Online,,0
2,0,Not Selected,0,Room_Type 1,2,2018,1,9,Online,,0
2,0,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,,0
2,0,Not Selected,1,Room_Type 1,23,2018,4,27,Online,,0
1,0,Meal Plan 1,0,Room_Type 1,34,2018,6,19,Online,,1
2,0,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,,0
2,0,Not Selected,0,Room_Type 1,247,2018,11,19,Online,,1
2,0,Meal Plan 1,0,Room_Type 4,186,2018,7,30,Online,121.8,1
2,0,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,93.6,0
2,0,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,102,0
3,0,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,121.8,0
2,0,Not Selected,0,Room_Type 1,41,2018,6,27,Online,98.1,1
2,0,Meal Plan 1,0,Room_Type 4,55,2017,11,18,Offline,60,0
2,0,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,75,0
1,0,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,73,0
2,0,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,104,0
2,0,Not Selected,0,Room_Type 1,57,2018,11,1,Online,79.2,0
1,0,Meal Plan 1,0,Room_Type 4,7,2018,12,29,Online,125.8,0
1,0,Not Selected,0,Room_Type 1,124,2018,5,30,Online,87.95,0
2,0,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Online,106,1
1,0,Meal Plan 1,0,Room_Type 1,6,2018,5,16,Online,136.67,0
2,0,Meal Plan 1,0,Room_Type 4,51,2017,11,11,Offline,60,0
2,0,Not Selected,0,Room_Type 1,13,2018,6,13,Online,89,0
2,0,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,136,0
2,0,Not Selected,0,Room_Type 1,139,2018,7,28,Online,94.5,0
2,0,Meal Plan 1,0,Room_Type 1,117,2018,12,26,Online,93.6,0
2,0,Meal Plan 1,0,Room_Type 4,39,2018,4,20,Online,120.6,1
2,0,Meal Plan 1,0,Room_Type 4,86,2018,4,6,Online,99.3,0
2,2,Meal Plan 1,1,Room_Type 6,2,2018,9,2,Online,258,0
1,0,Meal Plan 1,0,Room_Type 4,19,2018,5,3,Online,120.12,0
1,0,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,95,0
1,0,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0
2,0,Meal Plan 1,0,Room_Type 1,86,2018,12,18,Offline,75,0
2,0,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,157.5,0
2,0,Meal Plan 1,0,Room_Type 4,179,2018,6,3,Online,97.7,0
2,0,Meal Plan 1,0,Room_Type 4,26,2018,4,15,Online,142,1
2,0,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,80,0
2,0,Meal Plan 1,0,Room_Type 1,74,2018,4,25,Online,85.5,0
2,0,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,100,0
2,0,Not Selected,0,Room_Type 1,34,2018,11,14,Online,88,0
2,0,Meal Plan 1,1,Room_Type 1,30,2018,8,29,Online,122.85,0
2,0,Meal Plan 1,0,Room_Type 1,177,2018,6,3,Online,100,1
2,0,Meal Plan 1,0,Room_Type 4,34,2017,10,25,Offline,75,0
2,0,Meal Plan 1,0,Room_Type 4,18,2018,3,9,Online,116.8,0
3,0,Meal Plan 1,0,Room_Type 4,267,2018,12,31,Online,121.5,0
2,0,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,111.9,0
3,0,Meal Plan 1,0,Room_Type 4,155,2018,6,28,Online,121.55,1
2,0,Meal Plan 1,0,Room_Type 1,46,2018,3,29,Offline,75,0
2,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,Online,159.3,1
2,0,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,132.3,1
2,0,Not Selected,0,Room_Type 1,20,2018,12,25,Online,88,0
2,0,Meal Plan 1,0,Room_Type 4,40,2018,3,14,Online,98.82,0
2,0,Meal Plan 1,1,Room_Type 4,46,2018,3,4,Online,,0
1,0,Meal Plan 1,0,Room_Type 1,1,2018,10,17,Online,,0
2,0,Not Selected,0,Room_Type 1,196,2018,9,4,Online,,0
1,0,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,,1
2,0,Not Selected,0,Room_Type 1,17,2018,12,10,Online,,0
2,0,Meal Plan 1,0,Room_Type 5,146,2018,8,9,Offline,,0
2,0,Not Selected,0,Room_Type 1,110,2018,5,5,Online,,0
2,0,Meal Plan 1,1,Room_Type 1,68,2018,3,18,Online,,0
2,0,Meal Plan 1,0,Room_Type 4,73,2018,4,9,Online,,0
2,0,Meal Plan 1,0,Room_Type 4,92,2018,5,19,Online,,0
2,0,Meal Plan 1,0,Room_Type 1,171,2018,8,30,Online,,1
2,1,Meal Plan 1,1,Room_Type 1,134,2018,8,4,Online,,0
2,0,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Online,,1
2,0,Meal Plan 1,0,Room_Type 1,118,2018,4,13,Online,,0
2,0,Meal Plan 1,0,Room_Type 1,30,2018,11,17,Online,76.08,0
2,2,Meal Plan 1,0,Room_Type 6,30,2018,12,22,Online,156.9,0
2,0,Not Selected,0,Room_Type 1,189,2018,10,23,Online,85.5,0
3,0,Meal Plan 1,0,Room_Type 4,55,2018,5,13,Online,159.3,0
1,0,Meal Plan 1,0,Room_Type 1,55,2018,12,13,Online,74.8,0
2,0,Meal Plan 1,0,Room_Type 1,16,2017,10,31,Online,95,0
2,0,Meal Plan 1,0,Room_Type 1,24,2017,10,8,Online,107,0
2,0,Meal Plan 1,0,Room_Type 1,8,2018,2,16,Offline,64,0
2,0,Meal Plan 1,1,Room_Type 1,10,2017,11,2,Online,82.95,0
2,0,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Online,155,0
2,0,Not Selected,0,Room_Type 1,12,2018,6,30,Online,101.68,0
2,0,Meal Plan 1,0,Room_Type 1,32,2017,9,5,Online,94.5,0
2,0,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,117.9,1
2,0,Not Selected,0,Room_Type 1,1,2018,6,27,Online,127,0
2,0,Not Selected,0,Room_Type 1,122,2018,6,16,Online,116.1,0
2,0,Meal Plan 1,0,Room_Type 1,40,2018,6,30,Online,117.9,0
2,2,Meal Plan 1,0,Room_Type 2,116,2018,6,26,Online,184.24,1
3,0,Meal Plan 1,1,Room_Type 4,123,2018,8,13,Online,155.7,0
3,0,Meal Plan 1,0,Room_Type 4,40,2018,4,22,Online,135.76,1
2,1,Meal Plan 1,0,Room_Type 1,105,2018,11,12,Online,102.83,0
2,0,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Online,65,1
2,0,Meal Plan 1,0,Room_Type 1,2,2017,11,14,Online,103,0
2,0,Meal Plan 1,0,Room_Type 1,317,2018,9,1,Online,106.2,1
2,0,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,58.5,0
2,0,Meal Plan 1,0,Room_Type 1,68,2018,3,10,Online,73.95,1
2,0,Meal Plan 1,0,Room_Type 1,148,2018,5,5,Online,105.3,0
3,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,Online,133.2,0
2,0,Meal Plan 1,0,Room_Type 1,30,2018,3,30,Offline,85.5,0
1,0,Meal Plan 1,0,Room_Type 1,14,2018,11,3,Online,112,1
2,2,Meal Plan 1,0,Room_Type 6,110,2018,10,14,Online,190.8,1
1,0,Meal Plan 1,0,Room_Type 1,117,2018,6,5,Offline,110,0
2,0,Meal Plan 1,0,Room_Type 4,85,2018,7,13,Online,91.48,0
2,0,Not Selected,0,Room_Type 1,1,2018,10,20,Online,135,0
1,0,Meal Plan 1,0,Room_Type 1,25,2018,10,17,Online,129,0
